home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly_0,is_friendly_1
Curaçao,El Salvador,1,13.0,1.0,1.0,-0.5,-0.5,0.014527007551738054,-21.5,-21.5,0.00980392156862745,0.00980392156862745,0,1
Norway,Faroe Islands,0,-85.0,3.0,3.0,-1.1666666666666667,-1.1666666666666667,0.041666666666666664,0.0,0.0,0.02511765828218908,0.02511765828218908,0,1
Cyprus,Spain,1,108.0,-4.0,-4.0,4.0,4.0,-0.05925925925925926,-27.0,-27.0,-0.058016771364228996,-0.058016771364228996,1,0
Georgia,Scotland,1,48.0,2.25,2.25,0.0,0.0,0.011809374181722967,37.75,37.75,0.00663716814159292,0.00663716814159292,1,0
Estonia,Austria,1,82.0,-1.5,-1.5,2.0,2.0,-0.018547423359266395,-12.75,-12.75,-0.03811904362298339,-0.03811904362298339,1,0
Azerbaijan,Sweden,0,98.0,-1.5,-1.5,-0.5,-0.5,-0.014741314172476223,-20.5,-20.5,-0.04542682926829268,-0.04542682926829268,1,0
Bulgaria,Hungary,1,41.0,-1.75,-1.75,0.41666666666666674,0.41666666666666674,-0.027616576773400695,10.833333333333329,10.833333333333329,-0.08231481481481481,-0.08231481481481481,1,0
Montenegro,Lithuania,0,-73.0,0.25,0.25,0.25,0.25,-0.010371435683270185,34.25,34.25,-0.0012294600938967115,-0.0012294600938967115,1,0
Liechtenstein,Portugal,1,191.0,-4.25,-4.25,2.25,2.25,-0.06926770708283314,-1.75,-1.75,-0.052438634102704496,-0.052438634102704496,1,0
Luxembourg,Bosnia and Herzegovina,0,27.0,0.0,0.0,1.25,1.25,0.012649270234409553,-71.5,-71.5,0.007425373134328358,0.007425373134328358,1,0
Slovakia,Iceland,0,-20.0,-0.25,-0.25,0.0,0.0,0.003634883032277169,-33.25,-33.25,-0.006478796665458499,-0.006478796665458499,1,0
Montserrat,Dominican Republic,0,27.0,-2.5,-2.5,1.75,1.75,-0.014938650306748465,-13.0,-13.0,-0.008708016423234839,-0.008708016423234839,1,0
Barbados,Nicaragua,1,25.0,-2.0,-2.0,4.25,4.25,-0.01121794871794872,-13.0,-13.0,-0.01783217108362884,-0.01783217108362884,1,0
Honduras,Mexico,0,67.0,-0.6499999999999999,-0.6499999999999999,-1.55,-1.55,-0.03942333288965793,92.6,92.6,-0.03183570677303299,-0.03183570677303299,1,0
Burkina Faso,Guinea-Bissau,1,-56.0,-0.5,-0.5,-0.5,-0.5,-0.004268430574400723,-12.5,-12.5,-0.0006146759113665398,-0.0006146759113665398,1,0
Eswatini,Libya,1,19.0,-1.3333333333333335,-1.3333333333333335,-0.6666666666666666,-0.6666666666666666,-0.009864579705394278,-33.66666666666666,-33.66666666666666,-0.0017805408430408443,-0.0017805408430408443,1,0
Zambia,Congo,0,-22.0,-0.6666666666666667,-0.6666666666666667,-1.3333333333333335,-1.3333333333333335,-0.0011817226890756295,-33.66666666666667,-33.66666666666667,0.005030306436956053,0.005030306436956053,1,0
Guinea,Uganda,0,-11.0,0.6666666666666666,0.6666666666666666,-0.33333333333333326,-0.33333333333333326,0.004895437262357414,19.0,19.0,0.007747667156293414,0.007747667156293414,1,0
Liberia,Malawi,1,25.0,-1.0,-1.0,1.0,1.0,-0.009765984890362999,-14.0,-14.0,-0.012345679012345678,-0.012345679012345678,1,0
Tunisia,São Tomé and Príncipe,0,-155.0,2.0,2.0,-4.333333333333333,-4.333333333333333,0.028708133971291863,30.66666666666667,30.66666666666667,0.03621448579431773,0.03621448579431773,1,0
Comoros,Central African Republic,0,4.0,0.5,0.5,-1.0,-1.0,0.003333333333333334,15.0,15.0,0.02867965367965368,0.02867965367965368,1,0
Ghana,Madagascar,0,-48.0,0.25,0.25,1.0,1.0,0.007157597480178125,-29.08333333333333,-29.08333333333333,-0.0026063028704852963,-0.0026063028704852963,1,0
Mali,Chad,0,-130.0,2.6666666666666665,2.6666666666666665,-0.6666666666666667,-0.6666666666666667,0.025559105431309903,-26.66666666666667,-26.66666666666667,0.035376107688005635,0.035376107688005635,1,0
England,Malta,0,-167.0,1.5,1.5,-1.5,-1.5,0.08317623105346504,-52.25,-52.25,0.15315656565656566,0.15315656565656566,1,0
